Dia;Sessao;Turno;Horario_Inicio;Bloco;Sala;Ordem;Evento;Código do Resumo;Título;Submissor;Área;Modalidade
Segunda-feira;Sessão 4;Tarde;16:30;Ciências da Terra;CT03;2;2ª - EPEx-PG;202624172;University Chapter Paraná (ucpr): Integração e Fortalecimento da Comunidade de Ciência dos Materiais no Paraná;JULIA KETZER MAJEWSKI;Tecnologia e Produção;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;17:10;Ciências da Terra;CT01;4;2ª - EPEx-PG;202624126;Oficinas e Eventos Sobre Alimentação Complementar Saudável e Adequada: Atuação do Grupo de Estudos em Nutrição e Alimentação Infantil (genai);TAMIRES DE CARVALHO AMORIM;Saúde;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:50;Ciências Exatas;PA-03;3;2ª - EPEx-PG;202624058;Extensão Universitária e Educação Científica: Ações Desenvolvidas no Laboratório de Ensino;AMANDA MARIA GARCIA DE SOUZA;Educação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:20;Ciências Exatas;PA-05;2;2ª - EPEx-PG;202623979;Semear Direitos e Agroecologias: Vivências Extensionistas do Ekoa no 13.º Cba;MARINA AUGUSTA TAUIL BERNARDO;Meio Ambiente;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;15:00;Ciências Exatas;PA-07;4;2ª - EPEx-PG;202623828;Divulgação da Revista Científica Quaternary And Environmental Geosciences;THAISA STOCO DOS SANTOS;Comunicação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:10;Ciências Exatas;PA-04;1;2ª - EPEx-PG;202623694;Construindo Saberes em Alimentação e Nutrição: Experiências Integradas de Projetos Extensionistas do Ppgan/ufpr;RAYANE LUIZI COSTA;Saúde;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:30;Ciências da Terra;CT05;2;2ª - EPEx-PG;202623533;Ekoa na Cop-30: Juventudes, Povos Indígenas, Contradições e Avanços na Pauta Climática Brasileira;CAUE BUENO MARQUES;Direitos Humanos e Justiça;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;17:10;Ciências Exatas;PA-03;4;2ª - EPEx-PG;202623228;Jogos Matemáticos/educação Não Formal (3a Edição);MAISA FERNANDA DA CUNHA;Educação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:50;Ciências da Terra;CT03;3;2ª - EPEx-PG;202623136;Desmistificando a Gestão da Inovação: Comunicação Científica, Inovação Social e Formação Extensionista;ANTONIO LUCAS DE OLIVEIRA LIMA;Tecnologia e Produção;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:30;Ciências Exatas;PA-04;2;2ª - EPEx-PG;202623068;Grupo de Estudos: Introdução À Psicologia Analítica;LARISSA ARTEMIA DAL BOSCO;Saúde;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:10;Ciências Exatas;PA-05;1;2ª - EPEx-PG;202622928;Aprendizagem Baseada em Equipes: Experiência Formativa na Prática Docente;VERA LUCIA PASLAUSKI HATAOKA;Educação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:30;Ciências Exatas;PA-05;2;2ª - EPEx-PG;202622866;“cálculo Mental e Envelhecimento Ativo”;ADRIANA AGUSTINI RODRIGUES DA COSTA;Educação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:40;Ciências Exatas;PA-05;3;2ª - EPEx-PG;202622847;Vivendo em 2d: o Mistério do Oceano, Seus Insetos, e Suas Lições para Um Futuro Sustentável do Planeta Água;BRUNA FRANCISCON DE OLIVEIRA;Meio Ambiente;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:10;Ciências Exatas;PA-07;1;24ª - EAF;202626364;Cadernos de Clio: Novos Horizontes, Renovação de Clio e Dossiê “interseccionalidade”;OTAVIO LUIZ VIEIRA PINTO;Comunicação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:30;Ciências Exatas;PA-07;2;24ª - EAF;202625851;Conhecimento Científico e Integração Social;RICARDO ALVES BERNARDO;Comunicação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:50;Ciências Exatas;PA-07;3;24ª - EAF;202624680;Manual de Calouros;JULIAN SIMOES CRUZ DE OLIVEIRA;Comunicação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;17:10;Ciências Exatas;PA-07;4;24ª - EAF;202623335;Pet e Organização de Eventos: Filósofas Brasileiras Iii e Xvii Safilo;MAURIZIO FILIPPO DI SILVA;Comunicação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:10;Ciências Exatas;PA-08;1;24ª - EAF;202624730;Talk Show: Papo Civil;MARIENNE DO ROCIO DE MELLO MARON DA COSTA;Comunicação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:30;Ciências Exatas;PA-08;2;24ª - EAF;202626266;Tristes Tardes de Domingo, Um Documentário;JOSE CARLOS FERNANDES;Comunicação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:50;Ciências Exatas;PA-08;3;24ª - ENEC;202623418;Sapiens – Observatório Interdisciplinar de Consumo e Economia Criativa;HERTEZ WENDEL DE CAMARGO;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:00;Ciências da Terra;CT01;1;24ª - ENEC;202626179;A Laje (fase 4);JOSE CARLOS FERNANDES;Comunicação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;17:10;Ciências Exatas;PA-08;4;24ª - ENEC;202626249;Ciência Aberta e a Gestão da Informação Científica: Atores, Práticas e Políticas;PAULA CARINA DE ARAUJO;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:20;Ciências da Terra;CT01;2;24ª - ENEC;202626134;Ciências Geodésicas em Foco: Comunicação, Educação e Impacto Social;SILVANA PHILIPPI CAMBOIM;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:40;Ciências da Terra;CT01;3;24ª - ENEC;202625622;Compartilhamento de Conhecimento por Meio de Ferramentas de Stáreaming;ELDER LOPES BARBOZA;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;20:00;Ciências da Terra;CT01;4;24ª - ENEC;202626306;Coopera - Internacionalização em Casa;AYUMI NAKABA SHIBAYAMA;Comunicação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:10;Ciências Exatas;PA-09;1;24ª - ENEC;202625675;Criação de Um Museu em Relação Dialógica com a Comunidade;JUDIT GOMES DA SILVA;Comunicação;Comunicação Oral
